steps,learning_rates_per_step
0,0.0
1,2.3076923076923076e-05
2,4.615384615384615e-05
3,6.923076923076922e-05
4,9.23076923076923e-05
5,0.00011538461538461538
6,0.00013846153846153845
7,0.00016153846153846153
8,0.0001846153846153846
9,0.00020769230769230766
10,0.00023076923076923076
11,0.0002538461538461538
12,0.0002769230769230769
13,0.0003
14,0.000299665031793473
15,0.000298661623223217
16,0.000296994255755488
17,0.00029467037625815644
18,0.00029170036374118777
19,0.0002880974830014643
20,0.00028387782537898215
21,0.0002790602368890209
22,0.00027366623405126404
23,0.0002677199077917991
24,0.0002612478158471936
25,0.0002542788641511963
26,0.0002468441777338203
27,0.00023897696170940326
28,0.00023071235297450588
29,0.00022208726327800255
30,0.00021314021436425024
31,0.0002039111659256269
32,0.0001944413371328451
33,0.00018477302254012924
34,0.0001749494031874695
35,0.00016501435374361475
36,0.00015501224655115118
37,0.00014498775344884884
38,0.00013498564625638522
39,0.0001250505968125305
40,0.00011522697745987075
41,0.0001055586628671549
42,9.608883407437309e-05
43,8.685978563574976e-05
44,7.791273672199742e-05
45,6.92876470254941e-05
46,6.1023038290596715e-05
47,5.315582226617963e-05
48,4.5721135848803653e-05
49,3.875218415280636e-05
50,3.228009220820085e-05
51,2.6333765948735986e-05
52,2.0939763110979125e-05
53,1.612217462101783e-05
54,1.1902516998535683e-05
55,8.299636258812197e-06
56,5.329623741843531e-06
57,3.0057442445119872e-06
58,1.3383767767829956e-06
59,3.349682065270254e-07
60,0.0
