steps,learning_rates_per_step
0,0.0
1,8.415147265077139e-08
2,1.6830294530154278e-07
3,2.5245441795231416e-07
4,3.3660589060308557e-07
5,4.207573632538569e-07
6,5.049088359046283e-07
7,5.890603085553997e-07
8,6.732117812061711e-07
9,7.573632538569424e-07
10,8.415147265077138e-07
11,9.256661991584851e-07
12,1.0098176718092566e-06
13,1.093969144460028e-06
14,1.1781206171107995e-06
15,1.2622720897615708e-06
16,1.3464235624123423e-06
17,1.4305750350631134e-06
18,1.5147265077138849e-06
19,1.5988779803646564e-06
20,1.6830294530154277e-06
21,1.767180925666199e-06
22,1.8513323983169703e-06
23,1.9354838709677416e-06
24,2.0196353436185133e-06
25,2.1037868162692846e-06
26,2.187938288920056e-06
27,2.272089761570827e-06
28,2.356241234221599e-06
29,2.44039270687237e-06
30,2.5245441795231415e-06
31,2.608695652173913e-06
32,2.6928471248246845e-06
33,2.776998597475456e-06
34,2.8611500701262267e-06
35,2.9453015427769984e-06
36,3.0294530154277697e-06
37,3.113604488078541e-06
38,3.1977559607293128e-06
39,3.2819074333800836e-06
40,3.3660589060308554e-06
41,3.4502103786816267e-06
42,3.534361851332398e-06
43,3.6185133239831697e-06
44,3.7026647966339406e-06
45,3.786816269284712e-06
46,3.870967741935483e-06
47,3.955119214586255e-06
48,4.039270687237027e-06
49,4.123422159887797e-06
50,4.207573632538569e-06
51,4.2917251051893405e-06
52,4.375876577840112e-06
53,4.460028050490883e-06
54,4.544179523141654e-06
55,4.628330995792426e-06
56,4.712482468443198e-06
57,4.796633941093969e-06
58,4.88078541374474e-06
59,4.964936886395512e-06
60,5.049088359046283e-06
61,5.133239831697054e-06
62,5.217391304347826e-06
63,5.301542776998597e-06
64,5.385694249649369e-06
65,5.4698457223001395e-06
66,5.553997194950912e-06
67,5.638148667601683e-06
68,5.7223001402524534e-06
69,5.8064516129032256e-06
70,5.890603085553997e-06
71,5.974754558204768e-06
72,6.0589060308555395e-06
73,6.143057503506311e-06
74,6.227208976157082e-06
75,6.311360448807853e-06
76,6.3955119214586255e-06
77,6.479663394109396e-06
78,6.563814866760167e-06
79,6.647966339410939e-06
80,6.732117812061711e-06
81,6.816269284712482e-06
82,6.900420757363253e-06
83,6.984572230014025e-06
84,7.068723702664796e-06
85,7.152875175315567e-06
86,7.237026647966339e-06
87,7.32117812061711e-06
88,7.405329593267881e-06
89,7.489481065918653e-06
90,7.573632538569424e-06
91,7.657784011220196e-06
92,7.741935483870966e-06
93,7.826086956521738e-06
94,7.91023842917251e-06
95,7.994389901823281e-06
96,8.078541374474053e-06
97,8.162692847124824e-06
98,8.246844319775594e-06
99,8.330995792426366e-06
100,8.415147265077138e-06
101,8.49929873772791e-06
102,8.583450210378681e-06
103,8.667601683029451e-06
104,8.751753155680224e-06
105,8.835904628330994e-06
106,8.920056100981766e-06
107,9.004207573632538e-06
108,9.088359046283309e-06
109,9.172510518934081e-06
110,9.256661991584851e-06
111,9.340813464235624e-06
112,9.424964936886396e-06
113,9.509116409537166e-06
114,9.593267882187938e-06
115,9.677419354838709e-06
116,9.76157082748948e-06
117,9.845722300140253e-06
118,9.929873772791023e-06
119,1.0014025245441794e-05
120,1.0098176718092566e-05
121,1.0182328190743337e-05
122,1.0266479663394109e-05
123,1.035063113604488e-05
124,1.0434782608695651e-05
125,1.0518934081346422e-05
126,1.0603085553997194e-05
127,1.0687237026647966e-05
128,1.0771388499298738e-05
129,1.0855539971949509e-05
130,1.0939691444600279e-05
131,1.102384291725105e-05
132,1.1107994389901823e-05
133,1.1192145862552594e-05
